DATESTAMP,INSTRUMENT_ID,LIST_SECTION,RN,SUPERTYPE,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY,TRADE_CODE,ISIN,REGISTRY_NUMBER,REGISTRY_DATE,EMITENT_FULL_NAME,INN,NOMINAL,CURRENCY,ISSUE_AMOUNT,DECISION_DATE,OKSM_EDR,ONLY_EMITENT_FULL_NAME,REG_COUNTRY,QUALIFIED_INVESTOR,HAS_PROSPECTUS,IS_CONCESSION_AGREEMENT,IS_MORTGAGE_AGENT,INCLUDED_DURING_CREATION,SECURITY_HAS_DEFAULT,SECURITY_HAS_TECH_DEFAULT,INCLUDED_WITHOUT_COMPLIANCE,RETAINED_WITHOUT_COMPLIANCE,HAS_RESTRICTION_CIRCULATION,LISTING_LEVEL_HIST,OBLIGATION_PROGRAM_RN,COUPON_PERCENT,EARLY_REPAYMENT,EARLY_REDEMPTION,ISS_BOARDS,OTHER_SECURITIES,DISCLOSURE_PART_PAGE,DISCLOSURE_RF_INFO_PAGE,
"30.11.2018 0:00:00","5771","Первый уровень","1","Акции","Акция обыкновенная","акции обыкновенные","CBOM","RU000A0JUG31","10101978B","18.08.1999 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1","Рубль","27079709866","11.03.2014 0:00:00","","","","","+","","","","","","","","","22.06.2015 Включение в Первый уровень 09.06.2014 Включение в Второй уровень 11.03.2014 Включение в Котировальный список ""В""","","","","","РПС : Акции РЕПО c акциями Т+ Неполные лоты (акции) РЕПО с ЦК 1 день РЕПО с ЦК Адресное Т+ Акции и ДР РПС с ЦК: Акции и ДР РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c акциями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021301978B Облигация биржевая, 4B021401978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5163","Первый уровень","2","Облигации","Облигация биржевая","Неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-09 с обязательным централизованным хранением","RU000A0JU898","RU000A0JU898","4B020901978B","20.06.2013 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","3000000","20.06.2013 0:00:00","","","","","+","","","","","","","","","15.01.2016 Включение в Первый уровень 09.06.2014 Включение в Третий уровень 21.06.2013 Включение в Перечень внесписочных ценных бумаг","","10,25%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c облигациями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021301978B Облигация биржевая, 4B021401978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5896","Первый уровень","3","Облигации","Облигация биржевая","неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-10 с обязательным централизованным хранением","RU000A0JUQQ5","RU000A0JUQQ5","4B021001978B","27.06.2014 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","5000000","27.06.2014 0:00:00","","","","","+","","","","","","","","","08.07.2014 Включение в Первый уровень 27.06.2014 Включение в Третий уровень","","8,5%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021301978B Облигация биржевая, 4B021401978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5897","Первый уровень","4","Облигации","Облигация биржевая","неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-11 с обязательным централизованным хранением","RU000A0JUQR3","RU000A0JUQR3","4B021101978B","27.06.2014 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","15000000","27.06.2014 0:00:00","","","","","+","","","","","","","","","08.07.2014 Включение в Первый уровень 27.06.2014 Включение в Третий уровень","","9,15%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021301978B Облигация биржевая, 4B021401978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5898","Первый уровень","5","Облигации","Облигация биржевая","неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-12 с обязательным централизованным хранением","","","4B021201978B","27.06.2014 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","5000000","27.06.2014 0:00:00","","","","","+","","","","","","","","","08.07.2014 Включение в Первый уровень 27.06.2014 Включение в Третий уровень","","","+","","","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021301978B Облигация биржевая, 4B021401978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5899","Первый уровень","6","Облигации","Облигация биржевая","неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-13 с обязательным централизованным хранением","","","4B021301978B","27.06.2014 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","5000000","27.06.2014 0:00:00","","","","","+","","","","","","","","","08.07.2014 Включение в Первый уровень 27.06.2014 Включение в Третий уровень","","","+","","","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021401978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5900","Первый уровень","7","Облигации","Облигация биржевая","неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-14 с обязательным централизованным хранением","","","4B021401978B","27.06.2014 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","5000000","27.06.2014 0:00:00","","","","","+","","","","","","","","","08.07.2014 Включение в Первый уровень 27.06.2014 Включение в Третий уровень","","","+","","","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021301978B Облигация биржевая, 4B021501978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","5901","Первый уровень","8","Облигации","Облигация биржевая","неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-15 с обязательным централизованным хранением","","","4B021501978B","27.06.2014 0:00:00","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","7734202860","1000","Рубль","5000000","27.06.2014 0:00:00","","","","","+","","","","","","","","","08.07.2014 Включение в Первый уровень 27.06.2014 Включение в Третий уровень","","","+","","","Облигация биржевая, 4B020801978B, RU000A0JV3K6 Облигация биржевая, 4B020901978B, RU000A0JU898 Акция обыкновенная, 10101978B, RU000A0JUG31 Облигация биржевая, 4B021001978B, RU000A0JUQQ5 Облигация биржевая, 4B021101978B, RU000A0JUQR3 Облигация биржевая, 4B021201978B Облигация биржевая, 4B021301978B Облигация биржевая, 4B021401978B Облигация корпоративная, 41301978B Облигация корпоративная, 41401978B Облигация корпоративная, 41501978B, RU000A0ZZE87 Облигация корпоративная, 41601978B Облигация корпоративная, 41701978B Облигация корпоративная, 41801978B","http://www.mkb.ru","http://www.e-disclosure.ru/portal/company.aspx?id=202",
"30.11.2018 0:00:00","10558","Первый уровень","9","Облигации","Облигация субфедеральная","Государственные облигации Курской области 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга","RU000A0ZYCD1","RU000A0ZYCD1","RU35001KUR0","25.09.2017 0:00:00","Администрация Курской области","4629016041","1000","Рубль","4000000","09.10.2017 0:00:00","","","","","","","","","","","","","","09.10.2017 Включение в Первый уровень","","7,96%","+","","Т0 Облигации Размещение: Адресные заявки РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c облигациями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","","http:/adm.rkursk.ru/index.php?id=1847","",
"30.11.2018 0:00:00","10694","Первый уровень","10","Облигации","Облигация муниципальная","муниципальные облигации города Нижнего Новгорода 2017 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга","RU000A0ZYJ00","RU000A0ZYJ00","RU34002NNV1","24.11.2017 0:00:00","Администрация города Нижнего Новгорода","5253001036","1000","Рубль","5000000","01.12.2017 0:00:00","","","","","","","","","","","","","","01.12.2017 Включение в Первый уровень","","8,1%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО c облигациями(расч.в USD)","","https://нижнийновгород.рф/gorod/biznes/byudzhet/","",
